prov,city,province_label,city_label,casenum,mean_tem,range_tem,mean_hum,range_hum
安徽,合肥,Anhui,Hefei,174,4.058974358974353,18.67500000000001,74.51282051282051,48.5
安徽,阜阳,Anhui,Fuyang,155,3.448717948717956,20.5,76.13461538461539,44.5
安徽,六安,Anhui,Liu'an,69,4.374358974358984,24.174999999999955,74.51282051282051,48.5
安徽,蚌埠,Anhui,Bengbu,160,3.183333333333337,26.57499999999999,74.51282051282051,48.5
安徽,亳州,Anhui,Haozhou,108,3.448717948717956,20.5,65.5448717948718,47.75
安徽,芜湖,Anhui,Wuhu,33,4.058974358974353,18.67500000000001,74.51282051282051,48.5
安徽,宿州,Anhui,Suzhou(AH),41,3.448717948717956,20.5,74.51282051282051,48.5
安徽,淮南,Anhui,Huainan,27,3.448717948717956,20.5,74.51282051282051,48.5
福建,福州,Fujian,Fuzhou,71,12.904487179487205,10.899999999999977,89.03846153846153,26.5
福建,厦门,Fujian,Xiamen,35,16.538461538461547,9.074999999999989,86.74358974358974,34.25
福建,泉州,Fujian,Quanzhou,46,11.128846153846155,16.974999999999966,86.74358974358974,34.25
福建,漳州,Fujian,Zhangzhou,20,16.538461538461547,9.074999999999989,86.74358974358974,34.25
甘肃,兰州,Gansu,Lanzhou,36,-10.770512820512806,14.925000000000011,61.33974358974359,67
广东,深圳,Guangdong,Shenzhen,416,19.041666666666686,7.550000000000011,84.2051282051282,36.25
广东,珠海,Guangdong,Zhuhai,98,19.041666666666686,7.550000000000011,77.87820512820512,46.75
广东,广州,Guangdong,Guangzhou,339,12.98012820512821,17.350000000000023,77.87820512820512,46.75
广东,佛山,Guangdong,Foshan,84,12.98012820512821,17.350000000000023,77.87820512820512,46.75
广东,惠州,Guangdong,Huizhou,62,13.467307692307713,15.675000000000011,84.2051282051282,36.25
广东,湛江,Guangdong,Zhanjiang,22,17.756410256410277,14.149999999999977,77.11538461538461,50.5
广东,中山,Guangdong,Zhongshan,66,17.52115384615388,12.475000000000023,77.87820512820512,46.75
广东,汕头,Guangdong,Shantou,25,15.342307692307713,13.724999999999966,84.6025641025641,31.5
广东,东莞,Guangdong,Dongwan,93,13.467307692307713,15.675000000000011,77.87820512820512,46.75
广东,江门,Guangdong,Jiangmen,23,17.52115384615388,12.475000000000023,77.87820512820512,46.75
广西,柳州,Guangxi,Liuzhou,24,13.311538461538476,15.375,89.21794871794872,43.25
广西,桂林,Guangxi,Guilin,31,9.773076923076928,16.19999999999999,89.21794871794872,43.25
